book_id,coi_items,total_items,retention_rate,avg_heading_len,avg_text_len,min_text_len,max_text_len,total_tokens,avg_tokens_per_item,min_tokens,max_tokens
166,75,91,82.41758241758241,23.493333333333332,6055.1466666666665,0,69638,0,0,0,0
079,54,61,88.52459016393442,25.51851851851852,9126.166666666666,0,61935,0,0,0,0
141,114,124,91.93548387096774,21.0,1968.938596491228,0,15302,0,0,0,0
